Node	Buffer
P0	[0.0, 2.475336, 6.384428000000001, 15.848628000000001, 18.296668, 20.940796, 26.947048000000002, 30.401212, 32.6494, 37.602172, 40.485907999999995, 44.451496, 51.113628, 53.674516000000004, 64.582252, 64.582252, 66.804292, 75.158768, 77.98971999999999, 80.49888, 83.057252, 89.566316, 94.61084, 97.989928, 98.11036800000001, 98.482792, 97.219672, 98.91705200000001, 96.154124, 96.154124, 93.26956, 94.86402000000001, 94.86402000000001, 97.34527200000001, 99.135836, 93.13386, 94.3069, 93.72091999999999, 96.944784, 97.365672, 96.18388, 99.73200800000001, 99.73200800000001, 96.254524, 95.802788, 95.802788, 95.434016, 95.621952, 95.200632, 90.34988, 95.400504, 93.77558, 94.88444, 91.667456, 96.409484, 95.42989200000001, 96.829688, 95.374236, 96.79399199999999, 94.230772, 95.36096400000001, 93.69700399999999, 98.912372, 96.257884, 92.428248, 93.554916, 98.421948, 98.452524, 96.344396, 96.63552, 96.0156, 95.62522799999999, 97.797072, 94.49313599999999, 93.13188, 90.6213, 92.63345600000001, 94.23359599999999, 99.268992, 95.11134, 98.439764, 94.36238, 94.629704, 98.682716, 96.77789999999999, 94.681536, 94.859324, 99.03337599999999, 93.729324, 98.080652, 93.814908, 93.814908, 99.83994, 98.210152, 95.867572, 95.867572, 95.609312, 99.922792, 97.79996, 96.835668, 94.08627200000001, 92.802176, 90.39, 91.808132, 92.376952, 99.624128, 96.862736, 94.398656, 94.398656, 98.517932, 93.788832, 95.022216, 98.699304, 99.231764, 96.12521600000001, 99.670652, 93.19668800000001, 94.908276, 96.94850000000001, 94.969392, 96.06071200000001, 94.338324, 90.706708, 98.529364, 94.116344, 95.038508, 93.49208399999999, 93.825424, 94.249592, 94.152912, 92.89544, 97.245136, 99.580744, 95.747, 95.40397200000001, 93.243768, 86.444248, 94.15776, 90.65182, 98.070112, 96.492656, 97.201508, 93.68821200000001, 98.430892, 95.885208, 93.89981200000001, 98.316604, 99.739056, 97.01298, 96.850512, 91.2962, 94.945556, 95.44496, 95.486164]
P1	[0.0, 6.384428000000001, 10.256916, 15.848628000000001, 15.848628000000001, 20.940796, 26.947048000000002, 30.401212, 34.829744, 37.602172, 44.451496, 47.613564000000004, 51.113628, 59.088848000000006, 61.16605200000001, 64.582252, 69.043208, 72.972052, 77.98971999999999, 80.49888, 83.057252, 89.566316, 94.61084, 97.989928, 96.391144, 98.482792, 96.344616, 96.344616, 95.473792, 98.766852, 99.97403200000001, 99.97403200000001, 97.105588, 95.25298, 98.943552, 97.019784, 94.132408, 99.73556, 96.155604, 96.124112, 96.19671600000001, 96.18458, 99.14111199999999, 96.026952, 99.49696, 94.923128, 99.62710799999999, 95.674036, 98.611756, 97.34916799999999, 93.644868, 91.365688, 94.55774, 90.18293200000001, 98.409812, 99.327528, 98.81478, 98.065452, 97.486068, 98.664764, 93.912772, 95.014876, 93.577908, 92.528376, 99.046204, 89.584592, 96.54698400000001, 98.934932, 99.178548, 95.00839599999999, 98.315496, 94.021184, 93.87196, 96.29709600000001, 97.3394, 91.010984, 99.95718, 91.742172, 96.05344, 99.25795600000001, 96.088748, 95.028216, 95.478052, 94.243764, 98.03622800000001, 98.105172, 98.056596, 98.056596, 97.217, 94.408488, 96.757216, 94.34013999999999, 96.272808, 93.479412, 95.026516, 95.026516, 95.026516, 94.160836, 95.96752, 94.311976, 97.327684, 95.10212, 91.138776, 93.34131599999999, 96.961192, 95.441364, 98.635964, 94.847984, 92.937936, 95.648864, 94.220996, 96.217028, 94.173964, 98.18315600000001, 98.18315600000001, 98.18315600000001, 95.064468, 93.628848, 96.948864, 96.42582, 98.24700800000001, 90.362816, 92.00909200000001, 97.44568799999999, 99.61898000000001, 98.915136, 94.2414, 90.305972, 94.945636, 94.650348, 93.819084, 96.08158, 93.35294400000001, 93.62164800000001, 93.432148, 95.862768, 96.634468, 97.056444, 92.76932, 95.98043200000001, 91.13584, 95.533944, 90.764896, 94.529956, 96.781752, 97.11137199999999, 96.533592, 94.663164, 94.95336800000001, 99.13056, 94.73618, 89.226288, 98.511572, 93.813616]
P2	[0.0, 6.384428000000001, 10.256916, 12.349944, 18.492756, 24.596304, 24.596304, 32.6494, 34.829744, 37.602172, 40.485907999999995, 44.451496, 51.113628, 59.088848000000006, 64.582252, 64.582252, 66.804292, 72.972052, 77.98971999999999, 77.98971999999999, 83.057252, 89.566316, 94.61084, 97.965636, 94.73862, 97.668544, 97.77176800000001, 97.193196, 96.73140000000001, 96.73140000000001, 96.73140000000001, 98.096456, 96.41338400000001, 94.58352, 95.606592, 98.28393600000001, 98.28393600000001, 96.4748, 95.36240000000001, 99.268064, 93.170192, 99.613184, 96.678184, 94.673676, 96.84926, 97.66658, 95.108088, 95.640328, 97.29484000000001, 88.033276, 95.52728, 91.283868, 97.496812, 95.7249, 96.968728, 94.767968, 96.352904, 94.927352, 99.386052, 95.058228, 95.277484, 97.150568, 95.727948, 93.987124, 98.092568, 92.648332, 92.57402, 95.683696, 95.233764, 95.233764, 96.85014, 99.230964, 96.99359600000001, 96.834112, 97.67178399999999, 91.9058, 93.905488, 95.38648400000001, 96.534544, 94.915428, 94.81008800000001, 97.24754, 97.869756, 94.72603600000001, 96.203744, 93.477412, 99.738348, 97.01076400000001, 91.70356, 94.037276, 98.724316, 98.016884, 95.331272, 92.732044, 94.45526, 95.38616, 93.006384, 99.853428, 96.75769600000001, 96.49538, 95.110404, 93.04471600000001, 91.851016, 99.300712, 93.607048, 97.7208, 97.073328, 93.76619600000001, 97.1854, 95.485744, 97.609872, 97.609872, 99.46866, 94.266436, 99.527976, 93.257212, 94.497692, 97.268204, 99.92762400000001, 95.80824, 94.323272, 95.264016, 95.002916, 95.10016, 96.602312, 90.44756000000001, 92.371132, 98.417576, 97.47698, 95.045556, 93.980344, 94.183036, 99.4465, 99.296428, 95.703896, 93.762068, 96.802212, 96.420364, 92.261788, 97.709648, 90.583776, 96.168248, 92.847504, 95.65822, 96.47864, 96.47864, 95.343808, 95.118404, 92.67615599999999, 98.671696, 93.435288, 97.9902, 98.2551, 95.788316, 90.299612, 91.154424, 91.154424, 91.154424, 96.04774, 95.54363599999999, 96.473724, 96.473724, 96.473724, 93.814304, 87.000248]
P3	[0.0, 0.0, 10.256916, 10.256916, 18.492756, 20.940796, 24.596304, 30.401212, 32.6494, 37.602172, 40.485907999999995, 44.451496, 51.113628, 51.113628, 61.16605200000001, 64.582252, 69.043208, 69.043208, 75.158768, 80.49888, 83.057252, 89.566316, 97.989928, 97.989928, 96.344616, 96.391144, 96.177948, 96.177948, 96.177948, 96.33458, 97.62906, 99.172172, 95.019036, 95.791836, 95.463772, 95.102656, 95.480332, 98.613184, 95.07601199999999, 99.168712, 95.95414, 97.75219200000001, 95.628824, 99.16253999999999, 98.732428, 95.074296, 98.613776, 94.757216, 92.45894799999999, 89.628528, 90.888132, 98.381636, 94.643688, 94.233528, 93.809196, 97.047736, 96.119876, 98.324148, 98.44048, 95.596448, 97.245216, 95.39326, 95.43337600000001, 95.56586, 94.618804, 91.18718, 99.960556, 94.89436, 93.171052, 97.524112, 96.662708, 96.053316, 92.798676, 93.649644, 94.434144, 91.866376, 96.84604, 96.110892, 90.979856, 97.02684, 93.057572, 96.037428, 99.845396, 97.38554, 94.892264, 97.312472, 93.77024, 96.14572799999999, 95.85137999999999, 96.51521600000001, 95.4435, 95.4435, 90.55359200000001, 96.434004, 99.762176, 99.786148, 95.301132, 95.578728, 98.013988, 95.30027199999999, 98.089156, 94.437164, 90.493516, 95.77862, 95.447908, 98.09391600000001, 91.89254799999999, 97.61908, 94.38446, 96.482988, 94.815248, 97.594164, 97.594164, 93.720688, 98.091004, 97.285932, 96.034788, 93.789176, 98.698168, 99.160028, 96.40597600000001, 97.249612, 99.166568, 95.720396, 94.679108, 93.976636, 95.258988, 98.908624, 94.191664, 95.14148399999999, 94.577176, 99.427584, 95.139892, 95.570044, 92.341732, 96.419512, 99.027912, 94.755124, 97.197168, 98.426036, 91.94108399999999, 97.7025, 99.97602, 93.611312, 97.01086799999999, 94.79074800000001, 98.329272, 96.38358, 92.956676, 94.880008, 87.95226000000001, 93.494704, 94.688188, 99.00172, 95.180136, 97.280388, 97.852316]
P4	[0.0, 2.475336, 6.384428000000001, 15.848628000000001, 18.492756, 20.940796, 26.947048000000002, 30.401212, 34.829744, 37.602172, 40.485907999999995, 47.95156, 51.113628, 53.674516000000004, 64.582252, 64.582252, 66.804292, 72.972052, 77.98971999999999, 80.49888, 85.771752, 91.69299600000001, 94.61084, 97.989928, 94.43472, 96.70163600000001, 96.04288, 96.608788, 97.78522, 95.747488, 95.342852, 96.635112, 93.513144, 93.813108, 95.74848, 92.960928, 95.87203600000001, 97.47192, 93.128984, 94.945048, 94.905624, 96.201804, 96.933452, 95.261708, 99.9629, 95.169456, 95.149028, 94.73449600000001, 95.438644, 93.7385, 99.644716, 95.89734800000001, 93.501508, 96.36662, 95.12088, 97.463276, 94.023112, 94.198392, 96.180052, 95.18512799999999, 97.31406, 90.47542800000001, 87.059228, 93.631232, 91.99676799999999, 95.721736, 94.05180800000001, 99.58802399999999, 97.85911200000001, 97.642812, 93.55939599999999, 97.93148000000001, 97.089636, 98.75103200000001, 94.09481600000001, 90.537916, 99.088036, 92.32533600000001, 97.328076, 97.694108, 90.26650000000001, 95.629272, 95.745864, 95.11468400000001, 94.65624, 98.98204, 98.25928, 94.57594, 99.241544, 94.456816, 91.938188, 95.266784, 92.483976, 99.66264, 96.06398, 95.48302, 95.267788, 96.574084, 95.402984, 95.64151199999999, 95.64151199999999, 96.89746, 92.432724, 96.694236, 95.557604, 96.60565199999999, 95.27370400000001, 96.58441599999999, 94.97324, 94.90722000000001, 95.209672, 96.612348, 93.84066399999999, 95.21461599999999, 92.694916, 95.191348, 98.572612, 96.731904, 95.552852, 95.552852, 92.968116, 96.263092, 95.096388, 94.402688, 98.70082, 98.674284, 95.074108, 93.8778, 93.98254, 96.549844, 92.950844, 93.856796, 97.00572, 95.139008, 94.39908799999999, 94.344656, 94.403048, 93.864052, 95.062824, 93.614372, 95.83348000000001, 95.868364, 93.86205600000001, 93.44496, 93.44496, 94.00695999999999, 95.803888, 95.556116, 96.39116399999999, 92.776808, 91.47760000000001, 94.221024, 97.808712, 98.36604, 99.712492]
P5	[0.0, 2.475336, 10.256916, 15.848628000000001, 18.492756, 20.940796, 24.596304, 30.401212, 34.829744, 37.602172, 40.485907999999995, 44.451496, 51.113628, 59.088848000000006, 61.16605200000001, 64.582252, 69.043208, 72.972052, 77.98971999999999, 80.49888, 83.057252, 89.566316, 94.61084, 97.989928, 98.073764, 96.391144, 99.338728, 98.085228, 95.854556, 93.617812, 93.96668, 97.09998800000001, 95.628232, 95.228404, 94.78361199999999, 98.533984, 98.53671200000001, 94.545808, 94.85212, 98.0454, 94.834136, 95.625564, 96.044476, 96.582512, 94.524812, 96.017008, 95.991124, 93.981428, 91.50609200000001, 91.161972, 93.131636, 96.695188, 99.455852, 91.81, 96.21864, 95.004068, 94.89289199999999, 94.89289199999999, 94.89289199999999, 95.096956, 98.38289999999999, 91.88957599999999, 98.913232, 94.475288, 95.592176, 97.588072, 93.911812, 94.837868, 93.484984, 97.571884, 94.47396, 93.526328, 97.264252, 95.445064, 94.140556, 92.3438, 95.36016000000001, 93.719804, 93.49147599999999, 98.39416399999999, 94.889292, 98.41973200000001, 98.41973200000001, 94.349784, 94.349784, 99.428776, 97.17602, 95.17654399999999, 95.8182, 96.905208, 93.90585999999999, 92.10212800000001, 97.030404, 97.36492, 95.175748, 96.225144, 96.22743200000001, 93.88356399999999, 97.044876, 94.784216, 95.13056399999999, 99.691004, 96.025864, 93.76177999999999, 92.674592, 97.847492, 93.492424, 99.271204, 95.587864, 97.419168, 96.588488, 96.588488, 99.940116, 96.936956, 97.172876, 94.654736, 95.34499600000001, 95.93843199999999, 94.811892, 95.28856, 96.25817599999999, 98.42517600000001, 92.066772, 94.19336, 94.518788, 98.05632, 96.26258800000001, 93.869768, 96.969868, 92.58103600000001, 97.002528, 94.67148, 96.04758, 99.48272, 92.96322, 94.49308400000001, 97.04414, 96.70394, 96.182388, 95.239888, 95.340736, 95.043336, 91.183316, 94.99486, 94.630672, 95.320452, 94.876564, 95.337312, 93.36146, 94.48354, 96.97508, 94.48870000000001, 93.648364, 94.781084, 95.522128, 99.452356]
P6	[2.475336, 6.384428000000001, 10.256916, 15.848628000000001, 15.848628000000001, 22.148264, 26.947048000000002, 30.401212, 34.829744, 37.602172, 44.451496, 47.613564000000004, 51.113628, 59.088848000000006, 61.16605200000001, 64.582252, 72.972052, 75.158768, 77.98971999999999, 83.057252, 83.057252, 89.566316, 94.61084, 97.989928, 97.989928, 99.63211199999999, 97.030084, 98.37294800000001, 95.52742400000001, 93.839364, 95.46832400000001, 94.83175200000001, 99.13848, 96.75155600000001, 98.220072, 96.386536, 94.309888, 93.666976, 94.594528, 99.352008, 93.56228399999999, 95.56098, 96.014328, 93.05144, 95.100768, 96.09168799999999, 95.109104, 99.238984, 93.69254000000001, 94.91234, 92.000412, 92.820572, 90.372532, 95.47975600000001, 96.374476, 94.987528, 95.99224, 95.727176, 96.72664, 95.76102800000001, 93.43037600000001, 96.36484800000001, 96.697432, 91.8064, 96.879592, 92.73576, 97.96975599999999, 96.448736, 95.456424, 94.714372, 94.077424, 94.077424, 93.896888, 94.645504, 91.702088, 93.041856, 97.669908, 92.880268, 97.10981600000001, 94.016508, 94.144648, 95.97576, 99.197356, 96.194496, 99.098816, 97.37328, 96.77946, 95.989244, 95.003092, 95.193076, 97.069892, 95.079796, 91.279188, 96.267796, 96.25945999999999, 97.42253199999999, 94.962188, 95.68010799999999, 99.760936, 94.488168, 97.629292, 95.12366, 94.25084, 98.34651199999999, 94.127492, 91.45932, 92.6249, 94.344944, 91.50462, 96.564008, 96.39120799999999, 96.705196, 96.43712, 96.086132, 95.489712, 93.996956, 94.533756, 94.533756, 94.03788800000001, 97.715092, 98.15413600000001, 92.60832, 99.30512, 92.619704, 91.054976, 95.340632, 93.167068, 96.380804, 95.11336, 97.021056, 96.600172, 99.28993200000001, 99.37326, 97.102908, 93.874596, 92.801032, 99.182316, 92.574168, 98.934344, 98.277648, 95.973772, 94.54699600000001, 90.418332, 93.887036, 94.689576, 95.472164, 95.472164, 95.472164, 91.43198, 95.35397599999999, 93.734092, 97.94964, 95.801648, 99.85346, 92.674872, 96.667848, 94.93986, 95.42318800000001, 95.42318800000001, 96.004336, 93.93474, 93.93474, 97.448308, 96.412088, 93.409576, 91.089972]
P7	[0.0, 0.0, 6.384428000000001, 15.848628000000001, 18.492756, 18.492756, 24.596304, 30.401212, 32.6494, 37.602172, 40.485907999999995, 44.451496, 51.113628, 53.674516000000004, 61.16605200000001, 64.582252, 66.804292, 72.972052, 77.98971999999999, 80.49888, 83.057252, 86.851816, 94.61084, 97.989928, 97.989928, 98.427648, 98.427648, 95.404232, 96.221724, 94.470084, 95.90384, 95.90384, 95.05976000000001, 97.54052, 94.538928, 99.732624, 95.566604, 98.839392, 94.893672, 94.893672, 97.06024, 96.44347599999999, 94.704884, 96.213308, 96.213308, 96.213308, 99.717588, 97.599716, 95.601696, 90.36908, 94.867356, 94.082504, 97.294284, 93.779364, 98.78644, 95.227416, 96.122688, 99.044748, 99.044748, 95.2291, 95.2291, 95.312716, 94.586104, 94.37026, 95.47626, 91.674232, 94.588172, 97.331952, 95.236212, 96.55860000000001, 94.63574799999999, 93.976296, 93.536864, 93.536864, 92.08438799999999, 95.656444, 95.001364, 90.702744, 99.532236, 98.79695600000001, 97.38018000000001, 95.990016, 95.706716, 95.168328, 94.438492, 95.14858000000001, 94.655224, 94.78886, 94.728556, 99.002476, 97.826852, 92.485476, 95.266272, 93.458832, 92.304924, 95.65294399999999, 94.360456, 94.842136, 94.174008, 99.69469199999999, 93.483052, 96.901136, 96.468012, 93.98904, 97.83704, 92.017112, 95.783584, 96.586428, 98.735584, 94.14231199999999, 95.314084, 95.2237, 98.90844399999999, 98.330408, 98.02136, 94.77464, 92.810076, 92.810076, 99.67262, 95.681056, 94.648444, 90.558988, 95.589536, 94.61013200000001, 92.908024, 99.35280399999999, 96.618876, 93.002744, 95.58072800000001, 93.776452, 96.633048, 96.129056, 93.068692, 96.41306, 96.253236, 98.05182, 96.556776, 97.25854000000001, 91.87325200000001, 94.77981199999999, 87.9711, 98.617636, 98.03396, 98.11908, 99.01752, 98.77558400000001, 94.865872, 97.594332, 96.769176, 90.190032, 96.535456, 93.22194, 99.613192, 92.138676, 84.960088, 97.104492, 98.034964, 96.370256, 94.74132, 94.74132, 94.591448, 94.785628, 97.34202400000001, 94.682604, 87.868548]
P8	[0.0, 2.475336, 10.256916, 12.349944, 15.848628000000001, 20.940796, 26.947048000000002, 30.401212, 34.829744, 37.602172, 37.602172, 47.95156, 51.113628, 53.674516000000004, 61.16605200000001, 61.16605200000001, 69.043208, 69.043208, 75.158768, 80.54809200000001, 83.057252, 89.566316, 92.48416, 96.01733999999999, 97.585492, 99.76081599999999, 96.63256799999999, 96.63256799999999, 96.63256799999999, 99.29812799999999, 99.29812799999999, 95.71909199999999, 95.292296, 95.6661, 95.6661, 96.401784, 99.9093, 94.900928, 92.932312, 97.01494000000001, 94.825064, 94.31202400000001, 98.07608, 97.389272, 98.323228, 96.85352, 95.3863, 95.45954800000001, 96.902908, 94.84278400000001, 95.94083599999999, 96.103148, 95.974148, 94.53842399999999, 97.596664, 94.419128, 95.693156, 96.407168, 95.540284, 96.92598, 96.60504399999999, 94.4432, 93.299296, 96.47086, 98.97312000000001, 95.968852, 93.261864, 94.85566399999999, 95.328448, 94.37253199999999, 97.954668, 95.68818, 94.54562800000001, 93.49996, 96.646124, 96.71496400000001, 95.363544, 92.767704, 96.01013999999999, 97.012736, 97.36348, 95.761052, 95.71525199999999, 96.389532, 94.019248, 94.010456, 95.38838, 95.434524, 96.084328, 94.42507599999999, 92.246768, 98.781372, 99.238284, 94.5318, 95.25416799999999, 95.25416799999999, 99.182336, 96.270624, 94.759848, 94.01352, 94.531536, 95.921944, 91.24114, 91.895492, 85.62776, 89.88733599999999, 93.749212, 99.19346399999999, 95.762992, 94.74804, 95.550804, 95.550804, 97.63880400000001, 96.427712, 94.634416, 94.796836, 94.796836, 93.947092, 93.947092, 94.834428, 93.648092, 96.51727199999999, 94.785596, 92.31586, 98.70082, 95.182016, 97.046856, 93.905348, 91.471804, 94.064748, 96.421892, 95.47896, 94.259528, 96.72487199999999, 93.55918, 91.63168, 92.434996, 99.005352, 99.976524, 92.667844, 95.33264, 95.043336, 99.951548, 97.209928, 95.93073199999999, 95.82616, 96.10634399999999, 96.258708, 93.846176, 95.730952, 99.416324, 97.408688, 98.511572]
P9	[0.0, 6.384428000000001, 10.256916, 15.848628000000001, 15.848628000000001, 20.940796, 20.940796, 30.401212, 37.602172, 40.485907999999995, 40.485907999999995, 51.113628, 51.113628, 55.994676, 61.16605200000001, 64.582252, 66.804292, 69.043208, 77.98971999999999, 80.49888, 83.057252, 89.566316, 97.989928, 97.989928, 99.50752, 99.50752, 94.698876, 94.66320400000001, 97.054388, 97.374028, 95.477064, 93.35018000000001, 97.551492, 95.023456, 96.754064, 93.38124, 93.79164800000001, 99.728264, 94.47698799999999, 94.305144, 95.858904, 97.85759200000001, 94.0923, 94.90244, 94.056924, 97.173136, 94.47281600000001, 93.384084, 97.338668, 90.91756, 99.623704, 99.36022, 95.70556, 93.3481, 96.071156, 96.071156, 96.64170399999999, 96.654208, 99.174588, 94.263924, 95.52544400000001, 91.515692, 94.759672, 92.669344, 95.56648, 98.994808, 93.458028, 94.641448, 97.051868, 97.051868, 93.96276399999999, 94.529664, 96.94449200000001, 93.85359199999999, 98.975752, 95.61825999999999, 95.12076400000001, 93.62234000000001, 95.185552, 96.282116, 93.85547600000001, 94.796752, 94.605468, 98.372092, 94.82228, 98.19772, 94.66974, 94.29534000000001, 99.17008, 99.280064, 96.98043200000001, 97.22551200000001, 96.153556, 95.943432, 96.545088, 95.54959600000001, 97.58652, 94.848356, 97.75368800000001, 97.63930400000001, 97.157704, 95.08922, 93.362628, 91.58644, 85.318708, 89.30716, 96.12345599999999, 94.396716, 93.4191, 97.79701200000001, 97.79701200000001, 94.93128800000001, 96.89524, 94.60878000000001, 94.789944, 95.21066, 99.064076, 96.460904, 96.000732, 96.233212, 94.42944, 93.79915199999999, 95.67181599999999, 96.07193600000001, 94.808472, 94.77524000000001, 93.1571, 94.56506, 90.619212, 94.030912, 94.162872, 94.248972, 95.027308, 93.699028, 94.69225999999999, 97.354076, 93.70172799999999, 99.908824, 92.93098400000001, 93.49204399999999, 95.463156, 92.097268, 93.923384, 95.047296, 93.25492, 93.25492, 99.556984, 95.16802, 92.72577199999999, 94.21526, 95.131924, 93.74900000000001, 94.422212, 95.597204, 97.00169600000001, 93.11194, 93.774028, 94.58306, 98.52693599999999, 98.52693599999999, 99.458472, 96.837696, 96.837696, 94.17827600000001, 95.644056, 93.32445200000001]
