Node	Probability	Latency
P0	0.6666666666666666		7552.0
P1	1.0		8584.5
P2	1.0		32752.1875
P3	1.0		21817.1875
P4	1.0		22895.5
P5	0.5		8443.0
P6	1.0		12260.75
P7	1.0		55159.75
P8	0.8571428571428571		7864.125
P9	0.7		23457.984375
P10	0.4		25367.5
P11	0.8		10435.625
P12	1.0		19395.0
P13	1.0		31627.125
P14	0.8		6275.703125
P15	0.8333333333333334		17673.1875
P16	1.0		41587.0
P17	1.0		8119.3125
P18	0.8333333333333334		35624.375
P19	1.0		8929.9921875
P20	1.0		8120.5
P21	1.0		8962.875
P22	0.75		23835.25
P23	1.0		13507.25
P24	0.75		11762.25
P25	0.6666666666666666		18658.8125
P26	1.0		33413.65625
P27	1.0		16074.25
P28	0.6666666666666666		4384.5
P29	1.0		35282.375
P30	1.0		20325.25
P31	0.6666666666666666		5552.625
P32	1.0		8717.5
P33	0.6666666666666666		21798.0
P34	1.0		27849.3125
P35	1.0		15911.4375
P36	1.0		12455.875
P37	0.6666666666666666		4688.5
P38	0.6666666666666666		45399.0
P39	1.0		25876.875
P40	1.0		8443.25
P41	1.0		32975.75
P42	0.8		42740.25
P43	1.0		22367.3125
P44	0.5		16836.0
P45	1.0		22709.05078125
P46	0.75		31882.25
P47	1.0		12898.90625
P48	0.0		0.0
P49	1.0		22547.5
P50	0.8888888888888888		15815.6015625
P51	1.0		15312.6015625
P52	1.0		25213.46875
P53	0.75		18356.1875
P54	1.0		31795.0
P55	1.0		4702.5
P56	0.8		22043.625
P57	1.0		10393.59375
P58	1.0		40474.125
P59	1.0		12740.3125
P60	1.0		14177.125
P61	1.0		36578.65625
P62	0.5		31646.375
P63	1.0		17757.0
P64	1.0		45961.5
P65	1.0		24032.5
P66	0.6666666666666666		10680.0
P67	0.8571428571428571		12479.59375
P68	0.8333333333333334		5294.1875
P69	0.6666666666666666		10812.375
P70	0.8333333333333334		20220.6875
P71	0.75		30637.0
P72	1.0		39735.125
P73	0.8333333333333334		56274.4375
P74	0.8333333333333334		18163.125
P75	1.0		24738.75
P76	0.8		42324.0
P77	1.0		12674.375
P78	1.0		48385.234375
P79	0.5714285714285714		15081.625
P80	0.8		19714.625
P81	1.0		30793.0
P82	0.8		23010.375
P83	1.0		10941.9375
P84	1.0		23063.875
P85	1.0		4463.140625
P86	0.75		34320.25
P87	0.8		18715.75
P88	0.6666666666666666		17993.5
P89	1.0		30846.75
P90	0.875		46821.265625
P91	0.6666666666666666		3559.5
P92	0.6666666666666666		36763.9375
P93	1.0		13708.375
P94	1.0		64590.0
P95	0.8		28392.5
P96	1.0		8982.25
P97	1.0		7612.53125
P98	0.8333333333333334		2692.125
P99	0.0		0.0

