Node	Probability	Latency
P0	0.8837209302325582		19902.273387483438
P1	0.8490566037735849		26429.632630966255
P2	0.85		7761.35662656551
P3	0.8541666666666666		19824.204247312562
P4	0.8541666666666666		15303.58407941088
P5	0.9230769230769231		24535.02171250165
P6	0.8571428571428571		30266.41929151438
P7	0.8863636363636364		23433.139111526543
P8	0.9642857142857143		10263.316781956586
P9	0.9444444444444444		12624.062128418474
P10	0.88		16994.969132194354
P11	0.8936170212765957		13998.379688330926
P12	0.9019607843137255		34316.99910605408
P13	0.9777777777777777		59687.61017443461
P14	0.896551724137931		9066.543339185417
P15	0.8367346938775511		11392.30577243003
P16	0.8333333333333334		25866.47825054679
P17	0.9433962264150944		21870.072499179398
P18	0.9285714285714286		37267.89552693872
P19	0.8939393939393939		49642.121805797855
P20	0.8125		35150.10653621808
P21	0.8867924528301887		33187.259194543934
P22	0.8431372549019608		36575.64941622887
P23	0.94		37623.57450330426
P24	0.9583333333333334		24502.610165217775
P25	0.8431372549019608		35953.782625577005
P26	0.8444444444444444		28058.16841243184
P27	0.8541666666666666		22510.443559699343
P28	0.9433962264150944		7521.891334464366
P29	0.9074074074074074		30838.96218671277
P30	0.86		37471.95826953818
P31	0.8571428571428571		37549.35433428886
P32	0.8813559322033898		38282.09939247952
P33	0.9047619047619048		15543.974642053887
P34	0.9423076923076923		51578.73326446698
P35	0.967741935483871		21145.14500845014
P36	0.7777777777777778		17792.78007226356
P37	0.8723404255319149		23149.536400846147
P38	0.9272727272727272		31401.831945234502
P39	0.9		22464.642283122404
P40	0.8571428571428571		31712.555744607933
P41	0.8627450980392157		37136.88694016659
P42	0.9		40255.019613127515
P43	0.94		13348.091702823353
P44	0.8431372549019608		15880.072634161217
P45	0.9464285714285714		17385.038316392747
P46	0.8596491228070176		17981.076820774237
P47	0.8936170212765957		33611.43492015678
P48	0.7777777777777778		39178.91995964199
P49	0.9152542372881356		12631.038878875144
P50	0.8524590163934426		41562.93835152476
P51	0.8888888888888888		33675.644603463705
P52	0.8775510204081632		26323.34334985877
P53	0.8852459016393442		28842.42160549853
P54	0.8888888888888888		22128.934998813784
P55	0.8888888888888888		56008.121288901195
P56	0.8867924528301887		22803.05818956718
P57	0.95		25376.114554089494
P58	0.8863636363636364		41837.766257116455
P59	0.9464285714285714		25159.85255471943
P60	0.8703703703703703		32884.86704826623
P61	0.9242424242424242		20361.646839113208
P62	0.8392857142857143		29564.027255915455
P63	0.86		19426.65191479167
P64	0.8888888888888888		31377.725409231964
P65	0.8181818181818182		43601.84203888092
P66	0.9245283018867925		61223.262903891446
P67	0.9056603773584906		18322.88984791108
P68	0.8703703703703703		39797.82788118039
P69	0.7878787878787878		11716.111455814564
P70	0.8518518518518519		37367.32308331813
P71	0.8888888888888888		48257.53428226104
P72	0.9555555555555556		11478.1308517828
P73	0.8780487804878049		26958.509293519543
P74	0.8620689655172413		52625.80953474832
P75	0.8688524590163934		19187.57989238249
P76	0.8222222222222222		27146.92851589236
P77	0.8703703703703703		16408.612960805884
P78	0.847457627118644		14481.547262064123
P79	0.98		23752.114016500884
P80	0.8928571428571429		17219.429114940693
P81	0.8666666666666667		14656.274969082733
P82	0.9710144927536232		23908.468701892067
P83	0.9019607843137255		10684.722596126783
P84	0.875		27721.82068705262
P85	0.8461538461538461		44968.567947024305
P86	0.8571428571428571		24201.825595551287
P87	0.8301886792452831		64015.70309354598
P88	0.8909090909090909		27340.306777672493
P89	0.8135593220338984		38793.636740909715
P90	0.9107142857142857		28782.12821088778
P91	0.8548387096774194		22351.91747914406
P92	0.8867924528301887		25004.13073038729
P93	0.9245283018867925		32092.642855843995
P94	0.890625		27576.06940427766
P95	0.8928571428571429		27038.45369883621
P96	0.8679245283018868		24987.992828143528
P97	0.8863636363636364		31338.966919924016
P98	0.8867924528301887		27595.833279857005
P99	0.0		0.0

