Node	Buffer
P0	[0.0, 0.0, 0.0, 0.0, 0.0, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 6.266666666666668E-4, 0.0011333333333333334, 0.0011333333333333334, 0.0011333333333333334, 0.0011333333333333334, 0.0011333333333333334, 0.0011333333333333334, 0.0012066666666666667, 0.0012066666666666667, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.00152, 0.0017733333333333331, 0.00186, 0.00186, 0.00194, 0.0021333333333333334, 0.0021333333333333334, 0.0021333333333333334, 0.0021333333333333334, 0.0018866666666666667, 0.0018866666666666667, 0.0018866666666666667, 0.0018866666666666667, 0.0018866666666666667, 0.0018866666666666667, 0.0019533333333333334, 0.0021, 0.0017200000000000002, 0.0020266666666666666, 0.0017133333333333334, 0.0016466666666666665, 0.0016466666666666665]
P1	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.266666666666667E-4, 3.266666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 5.666666666666667E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 8.733333333333334E-4, 0.0011866666666666666, 0.0011866666666666666, 0.0011866666666666666, 0.0011866666666666666, 0.0015933333333333333, 0.0017866666666666667, 0.0018533333333333334, 0.0019733333333333334, 0.00212, 0.0023, 0.0023, 0.0023, 0.0023, 0.0023, 0.0023, 0.0023, 0.0023, 0.0023666666666666667, 0.0023666666666666667, 0.002586666666666667, 0.00234, 0.00234, 0.002013333333333333, 0.002013333333333333, 0.0019133333333333333, 0.00216, 0.0024000000000000002, 0.00266, 0.00266, 0.00282, 0.0028866666666666667, 0.00282, 0.00282]
P2	[0.0, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 7.999999999999999E-5, 3.5999999999999997E-4, 3.5999999999999997E-4, 3.5999999999999997E-4, 3.5999999999999997E-4, 3.5999999999999997E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 4.2666666666666667E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 5.0E-4, 6.8E-4, 8.933333333333333E-4, 8.933333333333333E-4, 8.933333333333333E-4, 0.0011866666666666666, 0.00114, 0.00106, 8.8E-4, 0.0014933333333333333, 0.0011933333333333334, 9.466666666666667E-4, 9.466666666666667E-4, 9.466666666666667E-4, 0.0010733333333333333, 7.933333333333334E-4, 7.933333333333334E-4, 9.8E-4, 9.8E-4, 0.0013733333333333332, 0.0013066666666666667, 0.0010933333333333333, 0.0010933333333333333, 9.133333333333333E-4]
P3	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4E-4, 1.4E-4, 3.533333333333334E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 4.866666666666667E-4, 7.933333333333334E-4, 7.933333333333334E-4, 9.333333333333332E-4, 0.0010333333333333334, 0.0010333333333333334, 0.0013533333333333333, 0.0013533333333333333, 0.0016466666666666665, 0.0016466666666666665, 0.0016466666666666665, 0.0016466666666666665, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00188, 0.00218, 0.00188, 0.00188, 0.00216, 0.0025, 0.00236, 0.00224, 0.0023133333333333335, 0.00196, 0.0018933333333333335, 0.0018933333333333335, 0.0018933333333333335, 0.0018933333333333335, 0.0018933333333333335, 0.0018933333333333335]
P4	[0.0, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 2.866666666666667E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 5.200000000000001E-4, 7.733333333333332E-4, 7.733333333333332E-4, 7.733333333333332E-4, 7.733333333333332E-4, 7.733333333333332E-4, 7.733333333333332E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 8.533333333333333E-4, 0.0011666666666666665, 0.0011666666666666665, 0.0011666666666666665, 0.0011666666666666665, 0.0011666666666666665, 0.0015933333333333333, 0.0013066666666666667, 0.0012266666666666667, 0.0012266666666666667, 0.0012266666666666667, 0.0012266666666666667, 0.0012266666666666667, 9.0E-4, 9.0E-4, 7.999999999999999E-4, 7.999999999999999E-4, 8.666666666666666E-4, 7.999999999999999E-4, 7.999999999999999E-4, 7.999999999999999E-4, 7.999999999999999E-4, 7.999999999999999E-4, 7.999999999999999E-4]
P5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1333333333333333E-4, 2.1333333333333333E-4, 3.9333333333333337E-4, 3.9333333333333337E-4, 4.7999999999999996E-4, 4.7999999999999996E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 6.466666666666667E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 9.333333333333332E-4, 0.00116, 0.00116, 0.0020266666666666666, 0.0022066666666666667, 0.0022066666666666667, 0.0022066666666666667, 0.0021133333333333334, 0.0021133333333333334, 0.0021133333333333334, 0.00184, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0015400000000000001, 0.0016066666666666666, 0.0015400000000000001, 0.0013933333333333332, 0.0013266666666666665, 0.0011466666666666667]
P6	[2.933333333333333E-4, 2.933333333333333E-4, 2.933333333333333E-4, 5.666666666666667E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 8.666666666666666E-4, 0.0011933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0012933333333333334, 0.0015933333333333333, 0.0015933333333333333, 0.0015933333333333333, 0.0015933333333333333, 0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0019199999999999998, 0.0019199999999999998, 0.0019199999999999998, 0.002013333333333333, 0.002013333333333333, 0.002013333333333333, 0.002013333333333333, 0.002013333333333333, 0.0022066666666666667, 0.0022066666666666667, 0.0022066666666666667, 0.002373333333333333, 0.0020800000000000003, 0.0020800000000000003, 0.0020800000000000003, 0.0019466666666666669, 0.0016466666666666665, 0.0017466666666666668, 0.00184, 0.00184, 0.0017, 0.0019000000000000002, 0.0019000000000000002, 0.0019666666666666665, 0.0019000000000000002, 0.00236, 0.0022933333333333334, 0.0020800000000000003, 0.00224, 0.002373333333333333]
P7	[0.0, 0.0, 1.7999999999999998E-4, 1.7999999999999998E-4, 1.7999999999999998E-4, 1.7999999999999998E-4, 1.7999999999999998E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 4.1999999999999996E-4, 5.8E-4, 5.8E-4, 5.8E-4, 8.266666666666666E-4, 8.266666666666666E-4, 8.266666666666666E-4, 8.266666666666666E-4, 8.266666666666666E-4, 0.0010733333333333333, 8.933333333333333E-4, 8.933333333333333E-4, 8.933333333333333E-4, 9.533333333333334E-4, 9.533333333333334E-4, 8.866666666666666E-4, 8.866666666666666E-4, 8.866666666666666E-4, 8.866666666666666E-4, 8.866666666666666E-4, 8.866666666666666E-4, 8.866666666666666E-4, 0.0011, 0.0011866666666666666, 0.0011866666666666666, 0.00142]
P8	[0.0, 0.0, 0.0, 1.1999999999999999E-4, 1.1999999999999999E-4, 3.9333333333333337E-4, 5.533333333333333E-4, 5.533333333333333E-4, 5.533333333333333E-4, 5.533333333333333E-4, 5.533333333333333E-4, 7.733333333333332E-4, 8.399999999999999E-4, 8.399999999999999E-4, 8.399999999999999E-4, 0.00108, 0.0011466666666666667, 0.0011466666666666667, 0.0011466666666666667, 0.0011466666666666667, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0015400000000000001, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00166, 0.00184, 0.00202, 0.00202, 0.00202, 0.00184, 0.0019333333333333333, 0.00218, 0.00166, 0.0015, 0.0017733333333333331, 0.0017733333333333331, 0.0017733333333333331, 0.0019066666666666668, 0.0019333333333333333, 0.0018666666666666664, 0.0017933333333333334, 0.0020066666666666666, 0.0015533333333333332, 0.0019333333333333333, 0.0019333333333333333]
P9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7999999999999998E-4, 1.7999999999999998E-4, 4.2666666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 2.466666666666667E-4, 0.0, 0.0, 5.133333333333333E-4, 5.133333333333333E-4, 1.3333333333333334E-4, 1.3333333333333334E-4, 6.666666666666667E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
