Node	Energy
P0	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5410.000000016189, 5319.800000015862, 5229.800000015534, 5139.800000015207, 5049.8000000148795, 4959.800000014552, 4869.800000014225, 4779.800000013897, 4689.80000001357, 4599.200000013243, 4509.000000012916, 4419.000000012588, 4328.400000012261, 4238.400000011934, 4148.400000011607, 4058.400000011279]
P1	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5409.600000016189, 5319.600000015862, 5229.6000000155345, 5139.600000015207, 5049.60000001488, 4959.600000014552, 4869.600000014225, 4779.600000013897, 4689.60000001357, 4599.600000013243, 4509.600000012915, 4419.600000012588, 4329.60000001226, 4239.200000011933, 4149.200000011606, 4059.2000000112785]
P2	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6039.800000018481, 5949.800000018154, 5859.800000017826, 5769.800000017499, 5679.600000017172, 5589.200000016845, 5499.200000016517, 5409.20000001619, 5319.200000015862, 5229.200000015535, 5139.2000000152075, 5049.20000001488, 4959.200000014553, 4869.200000014225, 4779.200000013898, 4689.20000001357, 4599.200000013243, 4509.200000012916, 4418.8000000125885, 4328.800000012261, 4238.800000011934, 4148.800000011606, 4058.800000011279]
P3	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5410.000000016189, 5320.000000015862, 5230.000000015534, 5140.000000015207, 5050.000000014879, 4959.600000014552, 4869.600000014225, 4779.600000013897, 4689.000000013571, 4599.000000013243, 4509.000000012916, 4419.000000012588, 4329.000000012261, 4238.800000011934, 4148.800000011606, 4058.800000011279]
P4	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5589.400000016844, 5499.400000016517, 5409.40000001619, 5319.400000015862, 5229.400000015535, 5139.400000015207, 5049.40000001488, 4959.4000000145525, 4869.400000014225, 4779.400000013898, 4689.40000001357, 4599.000000013243, 4509.000000012916, 4419.000000012588, 4329.000000012261, 4239.0000000119335, 4149.000000011606, 4059.0000000112786]
P5	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5949.200000018154, 5859.200000017827, 5769.200000017499, 5679.200000017172, 5589.200000016845, 5499.200000016517, 5409.20000001619, 5319.200000015862, 5229.200000015535, 5139.2000000152075, 5049.20000001488, 4959.200000014553, 4869.200000014225, 4779.200000013898, 4689.20000001357, 4599.200000013243, 4509.200000012916, 4418.8000000125885, 4328.800000012261, 4238.400000011934, 4148.400000011607, 4058.400000011279]
P6	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5410.000000016189, 5319.800000015862, 5229.800000015534, 5139.800000015207, 5049.8000000148795, 4959.800000014552, 4869.800000014225, 4779.800000013897, 4689.80000001357, 4599.400000013243, 4509.400000012915, 4419.200000012588, 4329.200000012261, 4239.200000011933, 4149.200000011606, 4059.2000000112785]
P7	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5410.000000016189, 5320.000000015862, 5230.000000015534, 5140.000000015207, 5050.000000014879, 4960.000000014552, 4870.0000000142245, 4780.000000013897, 4690.00000001357, 4600.000000013242, 4510.000000012915, 4420.000000012587, 4329.60000001226, 4239.600000011933, 4149.6000000116055, 4059.2000000112785]
P8	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5500.000000016516, 5410.000000016189, 5320.000000015862, 5229.6000000155345, 5139.600000015207, 5049.60000001488, 4959.600000014552, 4869.600000014225, 4779.600000013897, 4689.40000001357, 4599.000000013243, 4509.000000012916, 4419.000000012588, 4328.600000012261, 4238.600000011934, 4148.200000011607, 4058.2000000112794]
P9	[9910.00000000131, 9820.00000000262, 9730.000000003929, 9640.000000005239, 9550.000000006548, 9460.000000007858, 9370.000000009168, 9280.000000010477, 9190.000000011787, 9100.000000013097, 9010.000000014406, 8920.000000015716, 8830.000000017026, 8740.000000018335, 8650.000000019645, 8560.000000020955, 8470.000000022264, 8380.000000023574, 8290.000000024884, 8200.000000026193, 8110.000000026012, 8020.000000025684, 7930.000000025357, 7840.000000025029, 7750.000000024702, 7660.0000000243745, 7570.000000024047, 7480.00000002372, 7390.000000023392, 7300.000000023065, 7210.000000022737, 7120.00000002241, 7030.0000000220825, 6940.000000021755, 6850.000000021428, 6760.0000000211, 6670.000000020773, 6580.000000020445, 6490.000000020118, 6400.000000019791, 6310.000000019463, 6220.000000019136, 6130.000000018808, 6040.000000018481, 5950.0000000181535, 5860.000000017826, 5770.000000017499, 5680.000000017171, 5590.000000016844, 5499.800000016517, 5409.800000016189, 5319.800000015862, 5229.800000015534, 5139.800000015207, 5049.8000000148795, 4959.200000014553, 4869.200000014225, 4779.200000013898, 4689.20000001357, 4598.800000013243, 4508.800000012916, 4418.8000000125885, 4328.800000012261, 4238.600000011934, 4148.600000011606, 4058.600000011279]
